year,episode_number,title,airdate,rating,total_votes,desc
2001,59,Luffy Kanzen Houi! Teitoku Nelson no Hisaku,21 Feb. 2001,6.9,(567),"The Going Merry is avoiding the line of fire from the Marine Ships of the 8th Divison. Admiral Nelson is entertained by the whole thing, and tells a marine official to send out a flag signal telling Major that they have it under control. Erik however isn't going to let the Admiral get the Sennenryuu for himself. And asks the Major for 3 capable men and a rowboat. Luffy, Sanji, and Zoro took Usopp's idea of cutting the steal chains seriously and will use that for their plan in getting out of here. So Luffy used his Gomu Gomu Bridge, so he, Sanji, and Zoro can get on ..."
2001,60,Oozora o Mau Mono! Yomigaeru Sennen no Densetsu!,28 Feb. 2001,7.0,(563),"Luffy tells Ryuuji to not give up hope, but he remained in the water and began to sank. Admiral Nelson orders the marines to reel in the dragon with a gun spear cannon. Luffy however prevented the spear from piercing into Ryuuji. Luffy asked him on why he's doing this. Nelson just says that the only thing he wants from the dragon is eternal youth and nothing more. Luffy got angry after hearing that and threw the spear towards the Admiral's ship which missed the Admiral completely. Luffy talks some sense to Ryuuji to forget about the whole giving up thing, and think ..."
2001,62,Saisho no Toride? Kyodai Kujira Laboon Arawaru,21 Mar. 2001,7.6,(670),"The Grand Line, the greatest ocean in the world according to Luffy. As our heroes slide down the water current slope of the Red Line, it was much like a ride. As they approach to the bottom, Zoro hears a strange noise, which Nami thinks was just the wind. Usopp used his goggle to see what was up ahead, Sanji thinks it's a mountain, but Nami knows that there isn't suppose to be one. But as they approach to what looked like a mountain turned out to be a whale. The whole crew panicked as the whale is blocking their path, and the Going Merry is going at top speed. The ..."
2001,63,Otoko no Yakusoku! Luffy to Kujira Saikai no Chikai,21 Mar. 2001,7.4,(661),"Crocus told the Straw Hat Pirates the reason why Laboon is ramming against the Red Line. Long ago, when Crocus was looking after the lighthouses, a group of pirates entered the Grand Line, from Reverse Mountain. A little island whale(a young Laboon) had followed them all the way from the West Blue. Normally Island Whales travel with their own species, but not this one. Laboon made friends with the pirates he followed. After a few months, they repaired their ship and got acquainted with Crocus. The next day, the pirates left, and the captain told Crocus to look after ..."
2001,68,Ganbare Coby! Coby-Meppo Kaigun Funtou Ki,13 May 2001,6.7,(630),Coby & Helmeppo return in their own side story episode.
2001,69,Coby-Meppo no Ketsui! Garp Chuujou no Oyagokoro,20 May 2001,6.7,(628),Coby and Helmeppo are mentored by Vice Admiral Garp in becoming marines.
2001,70,Taiko no Shima! Little Garden ni Hisomu Kage!,27 May 2001,7.1,(620),"Straw Hat Pirate sails toward Little Garden, and unlike its name, the prehistoric animals living on the island are far from little. Everyone spreads out for another adventure and food, while Nami and Usopp stay aboard, frightened. Not long afterward, a giant approaches the ship."
2001,71,Dekkai Kettou! Kyojin Dorry to Brogy,3 Jun. 2001,7.3,(627),"Nami and Usopp are taken into Brogy's camp, meanwhile, Vivi and Luffy meet another giant, Dorry. They reveal that they will fight against each other whenever the volcano on the island erupts."
2001,72,Luffy Ikaru! Seinaru Kettou ni Hiretsu na Wana!,17 Jun. 2001,7.3,(609),"Brogy gives Dorry booze from Nami and Usopp. The booze explodes when Dorry drinks it. The duel starts once again, and even though his chance to win is very low due to his injury, Dorry still heads into the battle."
2001,73,Brogy Shouri no Goukyuu! Elbaf no Kecchaku,24 Jun. 2001,7.4,(607),The salvage of a hundred year duel ends?
2001,74,Ma no Candle! Munen no Namida to Ikari no Namida,15 Jul. 2001,7.6,(617),"Mr. 3 manages to capture Broggy with his wax. He also captures Vivi, Nami and Zoro, and tries to turn them into wax figures."
2001,75,Luffy o Osou Maryoku! Colors Trap,12 Aug. 2001,7.6,(599),"Luffy tries to save Nami, Vivi and Zoro who are almost turned into wax figures. However, Miss Golden Week, partner of Mr. 3, keeps Luffy busy with her colors trap."
2001,76,Iza Hangeki! Usopp no Kiten to Kaenboshi!,19 Aug. 2001,7.6,(602),"With Vivi, Nami, and Zoro are almost petrified completely by the wax and Luffy is trapped by Miss Golden Week's power, Usopp is the only one left to save them all."
2001,77,Saraba Kyojin no Shima! Arabasuta o Mezase,19 Aug. 2001,7.5,(604),"After defeating Baroque Works on the island, Straw Hat Pirate sets sail to Arabasta. Brogy and Dorry set them off and help them escape from the giant goldfish that tries to eat Going Merry."
2001,78,Nami ga Byouki? Umi ni Furu Yuki no Mukou ni!,26 Aug. 2001,7.2,(605),"Luffy's crew gets a trouble when their navigator, Nami, is sick, and they do not have a doctor on the ship."
2001,79,Kishuu! Bliking Gou to Blik no Wapol,2 Sep. 2001,7.6,(592),"Straw Hat crew tries to find a doctor in a nearby island, but they are attacked by the pirate Wapol."
2001,80,Isha no Inai Shima? Na mo Naki Kuni no Bouken!,9 Sep. 2001,7.6,(591),"Not only that the island has no name, it doesn't have a doctor as well. The only one called doctor lives in the castle on the mountain's top. Sanji and Luffy go taking Nami there, while Vivi and Usopp stay behind, and listen to the history of the island from Dalton."
2001,81,Happy kai? Majo to Yobareta Isha!,16 Sep. 2001,7.6,(574),"It turns out that Dr. Kureha is on the other side of the island, and Usopp, Vivi and Dalton rush to find her. However, Dalton returns to the village after heard that Wapol comes back."
2001,82,Dolton no Kakugo! Wapol Gundan Shima ni Jouriku,7 Oct. 2001,7.6,(579),"Dalton faces Wapol, who wants to take over the island once more, but gets hit by arrows. The avalanche stops, and it injures Sanji. It is up for Luffy now to climb the mountain to save both Nami and Sanji."
2001,83,Yuki no Sumu Shima! Drum-Rocky o Nobore!,7 Oct. 2001,7.9,(658),Avalanche aftermath & the mountain climbing on the Drum Rockies.
2001,84,Tonakai wa Aoppana! Chopper no Himitsu,21 Oct. 2001,7.8,(613),"Nami asks Chopper to join Straw Hat's crew, but the reindeer refuses. Knowing Chopper's unique ability, Luffy is also interested to have him as the crew."
2001,85,Hamidashi Mono no Yume! Yabuisha Hiluluk!,28 Oct. 2001,8.4,"(1,006)","It is a flashback to the past of Chopper and Dr. Hiruluk, the first human shows him affection, told by Dr. Kureha."
2001,86,Hiluluk no Sakura to Uketsugareyuku Ishi!,4 Nov. 2001,9.2,"(2,172)",Flashbacks revealing the death of Dr. Hiruluk and the cruelty of Wapol as the king at that time and how Chopper is encouraged to carry on Dr. Hiruluk's will.
2001,87,Versus Wapol Gundan! Bakubaku no Mi no Nouryoku!,11 Nov. 2001,7.9,(620),"Wapol has arrived to the castle and wants to take down Hirulug's flag. He and his crew engage in a battle with Luffy, Sanji and Chopper trying protect the flag."
2001,88,Zoan-kei Akuma no Mi! Chopper Nanadan Henkei,18 Nov. 2001,7.7,(588),Chopper fights against one of Wapol's crew. He shows his ability to transform into seven forms using Rumble Ball which he creates by himself.
2001,89,Oukoku no Shihai Owaru Toki! Shinnen no Hata wa Eien ni,25 Nov. 2001,7.7,(579),The rest of Luffy's crew and the villagers find the ropeway Dr. Kureha uses to go from the castle to the village and vice versa. Meanwhile. Luffy manages to defeat Wapol.
2001,90,Hiluluk no Sakura! Drum Rocky no Kiseki,2 Dec. 2001,8.7,"(1,487)","Chopper is finally convinced to join Luffy's crew, and though Dr. Kureha is not too happy with the idea of Chopper being a pirate, she gives him a very remarkable farewell gift."
2001,91,Sayonara Drum-tou! Boku wa Umi e Deru!,9 Dec. 2001,7.9,(593),Straw Hat's crew continues their journey to Vivi's homeland.
2001,92,Arabasta no Eiyuu to Senjou no Ballerina,9 Dec. 2001,7.6,(584),Luffy and Usopp accidentally fish Mr. 2 Bon Clay who spends a short time with Straw Hat crew showing off the ability of his devil fruit.
2001,93,Iza Sabaku no Kuni e! Ame o Yobu Kona to Hanrangun,16 Dec. 2001,7.2,(575),"Straw Hat crew arrives at Nanohana, the port city of Alabasta. Luffy gets separated from the others, and somehow learns about Dance Powder."
2001,94,Gouketsu-tachi no Saikai! Yatsu no Na wa Hiken no Ace,23 Dec. 2001,8.9,"(1,790)","Straw Hat crew meets Smoker and Tashigi. Smoker almost corners them when suddenly a powerful pirate appears to save Luffy. Luffy reveals him as Portgas D. Ace, his older brother."
2002,95,Ace to Luffy! Atsuki Omoi to Kyoudai no Kizuna,6 Jan. 2002,8.1,(634),Luffy and his crew manages to run away from Smoker and they meet Ace in their ship. Ace reveals that he is in a mission of searching for a man named Blackbeard.
2002,96,Midori no Machi Erumaru to Kung Fu Jugon!,13 Jan. 2002,7.2,(569),"Ace joins Luffy crew's journey temporarily and they go to the 'Green City' of Erumalu, which is only a desert now."
2002,97,Suna no Kuni no Bouken! Ennetsu no Daichi ni Sumu Mamono,20 Jan. 2002,7.2,(552),Straw Hat crew's journey through the desert after leaving Erumalu.
2002,98,Sabaku no Kaizokudan Toujou! Jiyuu ni Ikiru Otoko-tachi,27 Jan. 2002,6.9,(527),"Straw Hat crew meets the Desert Pirates, and Vivi realizes she knows the girl from the Desert Pirates when they were still young girls."
2002,109,Gyakuten Dai Dasshutsu e no Kagi! Doru-Doru Ball!,28 Apr. 2002,8.3,(853),"Mr. Prince is actually Sanji, who lures Crocodile out so that he can go in and help the others. He manages to open the cage since using the copy key made from the wax of Mr. 3, who is swallowed by one of the Bananawani."
2002,110,Nasake Muyou no Shitou! Luffy vs Crocodile,5 May 2002,9.1,"(1,855)","Straw Hat crew rush to Alubarne, where the final battle will take place. But Luffy is captured by Crocodile, so he tells the others to go without him. Battle between Luffy and Crocodile begins, with Crocodile overpowers him with his devil fruit's ability, sand."
2002,111,Kiseki e no Shissou! Arabasta Doubutsu Land,12 May 2002,7.8,(547),"The rest of Straw Hat crew reaches Alubarna, while in Rainbase, Luffy gets stabbed by Crocodile, who leaves him to die. However, the mysterious Miss All Sunday saves Luffy."
2002,112,Hanrangun Tai Kokuougun! Kessen wa Alubarna!,19 May 2002,8.0,(557),The war between Royal Army and Rebel Army is about to start and Straw Hat crew sets up a plan to stop it.
2002,113,Nageki no Alubarna! Gekitou Carue Taichou!,2 Jun. 2002,7.7,(533),"Vivi is standing between Alubarne and incoming Rebel Army to speak with Kohza. But a member of Baroque Work infiltrating the Royal Army interferes by shooting the cannon, sending dust spreading and covering the area. Vivi is nearly trampled, but Karoo sacrifices himself and covers her with his body."
2002,114,Nakama no Yume ni Chikau! Kettou Mogurazuka 4-bangai,9 Jun. 2002,7.8,(543),"Usopp and Chopper struggle against Mr. 4 and Miss Merry Christmas, who attack them from underground and with explosive balls. Scared and badly injured, Usopp tries to flee, but stop immediately when the enemy claims that Luffy is killed by Crocodile."
2002,115,Honjitsu Daikoukai! Mane-Mane Montage!,16 Jun. 2002,8.0,(564),"Though badly injured, Usopp is enraged by Miss Merry Christmas's taunt. Sanji is still engaged in battle against Mr. 2 and they are evenly matched."
2002,116,Nami ni Henshin! Bon Clay Renpatsu Ballet Kenpou,23 Jun. 2002,7.9,(538),"Mr.2 keeps changing into Nami so that Sanji can't attack him, but then Sanji notices that Mr.2 should turn back into himself to use his Kenpo. Vivi decides to save the country by destroying the palace, but then Crocodile appears with the kidnapped King Cobra."
2002,117,Nami no Senpuu Chuuihou! Clima Takt Sakuretsu,30 Jun. 2002,7.8,(540),"It's a fight between Miss Doublefinger and Nami with her new weapon, Clima Tact."
2002,118,Ouke ni Tsutawaru Himitsu! Kodai Heiki Pluton,14 Jul. 2002,7.7,(531),"Nami manages to defeat Miss Doublefinger after several false attempts using her Clima Tact. Meanwhile, Crocodile reveals his true objective, ancient weapon Pluton, that lies somewhere in Alabasta."
2002,119,Gouken no Gokui! Koutetsu o Kiru Chikara to Mono no Kokyuu,21 Jul. 2002,9.1,"(1,920)","Zoro struggles in a fierce battle against Mr. 1, who can turn his body parts into blades. After being injured very badly, Zoro learns that his katana should be able to cut steel in order to win."
2002,120,Tatakai wa Owatta! Kooza ga Kakageta Shiroi Hata,4 Aug. 2002,7.9,(539),"Kohza eavesdrops the conversation between Crocodile and Vivi, and now after knowing the truth, he tries to stop the Rebel Army for attacking by raising a white flag. However, Baroque Work's infiltrator in Royal Army shots him, and Crocodile spreads sand storm everywhere, encouraging the war."
2002,121,Vivi no Koe no Yukue! Hero wa Maiorita!,11 Aug. 2002,8.3,(825),"Crocodile tells Vivi that he sets a bomb that will destroy Alubarna and people within. Then he drops Vivi from the top of the castle, but Luffy and Pell catch her. Luffy once again challenge Crocodile into battle, claiming that now he knows Crocodile's weakness."
2002,122,Suna Wani to Mizu Luffy! Kettou Dai 2 Round,18 Aug. 2002,8.8,"(1,378)","Luffy uses water to fight Crocodile, since water will not let Crocodile turns into sand. Meanwhile, the rest of Straw Hat crew tries to find the location of the bomb. Miss All Sunday, a.k.a Nico Robin, forces King Cobra to show her the location of Pluton."
2002,123,Wanippoi! Ouke no Haka e Hashire Luffy!,25 Aug. 2002,8.1,(556),"After defeating Luffy for the second time, Crocodile joins Nico Robin in the middle of her translating the Poneglyph. Robin admits that the Poneglyph does not mention Pluton at all, and Crocodile stabs her saying that she isn't useful anymore to him."
2002,124,Akumu no Toki Semaru! Koko wa Sunasunadan Himitsu Kichi,1 Sep. 2002,8.0,(546),"After recovering, Luffy fights Crocodile again in the tomb, this time using his blood as water replacement. He gets poisoned but still he fights Crocodile with all his might. Meanwhile, Vivi finally finds out the location of the bomb and tells the others."
2002,125,Idainaru Tsubasa! Waga Na wa Kuni no Shugoshin Pell,8 Sep. 2002,9.0,"(1,633)","Vivi manages to cut the bomb's fuses, but realizes that the bomb has been set to explode at a certain time. Only several seconds left before the bomb explodes, and suddenly, Pell appears, sacrificing himself by taking the bomb up to the sky."
2002,126,Koeteiku! Arabasta ni Ame ga Furu!,15 Sep. 2002,9.4,"(2,440)","The bomb explodes in the sky, the impact blows away the sand storm. At the same time, Luffy defeats Crocodile and punches him through the bedrock. Even so, the war is still raging, and though Vivi screams at the top of her lungs to make them stop, nobody listens to her, until the first drops of rain fall down and calm them."
2002,127,Buki yo Saraba! Kaizoku to Ikutsuka no Seigi,6 Oct. 2002,8.0,(551),The first rain fall in 3 years/The end of the Alabasta War!
2002,128,Kaizoku-tachi no Utage to Arabasta Dasshutsu Sakusen!,6 Oct. 2002,8.0,(540),"After defeating Crocodile, Luffy's crew is preparing to sail away when they find out that Mr 2 took the Going Merry and is awaiting for them at the Sandora River. He claims to need their friendship."
2002,129,Hajimari wa Ano Hi! Vivi ga Kataru Boukentan!,20 Oct. 2002,9.1,"(1,824)","Vivi gives her speech in front of the people of Alabasta today. At the same time, Straw Hat crew waits for her to come and sail with them. However, the Marine begins to chase them. It turns out that Vivi has Igaram to stand in the podium, while she and Karoo go to the promised location. In front of the crew, and heard by all of Alabasta's people, Vivi states that she loves her country and therefore she can't join Luffy. However, she hopes that they will still think of her as a friend. To prevent the Marine knows her relationship with them, Straw Hat crew answers her ..."
2002,130,Kiken na Kaori! Shichininme wa Nico Robin!,27 Oct. 2002,8.5,"(1,143)","With Mr.2's help, Straw Hat crew manages to escape from Marines. Suddenly, Nico Robin appears from the inside of the ship and persuades Luffy and the rest of the crew to let her be the seventh crew."
2002,131,Hajimete no Kranke! Rumble Ball Hiwa,3 Nov. 2002,7.0,(452),"Straw Hat crew lands on an uninhabited island. As usual, some of the crew is sent to gather food or survey the island. Chopper stays behind to guard the ship, but realize that Robin stays as well. Awkwardly he tells the story about his mentor, and also his first patient, Dr. Kureha."
2002,132,Koukaishi no Hanran! Yuzurenai Yume no Tame ni!,10 Nov. 2002,6.6,(453),"Accidentally, Luffy fishes a huge ammonite and apparently it is a kind of vehicle owned by a traveling salesman. Nami gets a pile of paper and then begins to draw the map of the world like she always dreams about, only to find that she should restart twice drawing the map of the Reverse Mountain due to the mischief of the crew."
2002,133,Uketsugareru Recipe! Curry no Tetsujin Sanji,17 Nov. 2002,6.8,(433),"Tajiyo, a young trainee cook in a Marine's ship falls from the ship and wakes up in Straw Hat's ship. Surprised by the quality of Sanji's food, he then goes back to his ship along with Luffy and Sanji, who helps him cook the perfect dish."
2002,134,Sakasete Misemasu! Otoko Usopp Hasshakudama,24 Nov. 2002,6.8,(437),"Straw Hat's crew arrives on the next island, and it seems that it is day the inhabitants of the island hold their annual fireworks show. Usopp goes to the fireworks factory run by an old man named Odama and his granddaughter, Kodama."
2002,136,Yagi no Shima no Zenny to Yama no Naka no Kaizokusen!,8 Dec. 2002,6.5,(436),Luffy and his friends escape from the Marines once again and find an unknown island where old pirate Zenny dwells.
2002,137,Moukarimakka? Kanekashi Zenny no Yabou!,15 Dec. 2002,6.6,(426),Zenny reveals his past life while the Marines make their moves to get both Luffy's reward and the moneylender's treasure.
2002,138,Shima no Otakara no Yukue! Zenny Kaizokudan Shutsugeki!,22 Dec. 2002,6.5,(431),The Marines are defeated and Zenny prepares to begin his pirate new life.
2003,168,Kibamuku Uwabami! Tsui ni Hajimaru Survival Game,12 Oct. 2003,7.5,(460),"Gan Fall tells the story about the raising of Enel's tyranny, and the vengeance of the Shandian people. Luffy, Zoro, Chopper and Robin escape from a poisonous python."
2003,169,"Sutemi no Haigeki (Reject)! ""Senki"" Wiper no Kakugo",19 Oct. 2003,7.8,(481),"The Survival Game begins and Shura is the first to fall. The Shandians split and Wiper meets Luffy. Enel sends the 50 Sacred Warriors. Gan Fall teaches Sanji, Nami, Usopp and Chopper about the power of the Reject Dial."
2003,170,Kuuchuu no Gekisen! Kaizoku Zoro VS Senshi Braham,19 Oct. 2003,7.9,(486),"Robin makes it to the ruins and fight against a Sacred Warrior. Zoro faces the lightguns of Braham, while Luffy is still entertained with Wiper. Enel comes into scene."
2003,171,Unaru Burn Bazooka!! Luffy VS Senki Wiper,26 Oct. 2003,7.7,(460),Satori's younger brothers appear to fight against Nami and Gan Fall. Luffy is swallowed by the giant python. Chopper meets the Iron Priest.
2003,172,Numa no Shiren! Chopper VS Shinkan Gedatsu!!,2 Nov. 2003,7.7,(456),"Luffy is still trapped into the python, while Robin tries to protect the ruins she found from the powerful attacks of Chief Yama. Chopper must face his fears in order to defeat Priest Gedatsu."
2003,173,Muteki no Nouryoku! Akasareru Enel no Shoutai,9 Nov. 2003,7.8,(471),"The Survival Game continues, Gan Fall and Nami defeat Zatori's younger brothers Hotori and Kotori. The former god goes after Enel and Nami is left with his Impact Dial. Conis and Pagaya make it to the Going Merry."
2003,174,Maburoshi no Miyako! Yuudai Naru Shandra no Iseki!!,16 Nov. 2003,7.9,(476),Robin defeats Chief Yama and arrives to the city of Shandora. Zoro makes a new friend. Luffy is starving but still inside the python.
2003,175,Seizonritsu 0%!! Chopper VS Shinkan Ohm,21 Dec. 2003,7.7,(459),"Chopper tries to escape from Priest Ohm. Nami and Aisa gets lost in the forest after the giant python spots the Going Merry. Zoro, Gan Fall and Wiper meet Priest Ohm and prepare for the battle."
2004,2,Daikengo Arawaru! Kaizokugari Roronoa Zoro,17 Nov. 1999,7.7,"(1,693)","Luffy and Koby arrive at Shell Island where they meet Roronoa Zoro, a bounty hunter held under arrest by Captain Morgan."
2004,4,Rufi no Kako! Akagami no Shankusu Tojo,8 Dec. 1999,8.3,"(1,747)",Luffy reflects on his past and how he came in possession of his Straw Hat.
2004,5,Kyofu Nazo no Chikara! Kaizoku Doke Bagi-sencho!,15 Dec. 1999,7.4,"(1,169)",Nami tricks Luffy into allowing her to turn him over to Buggy as a battle ensues.
2004,6,Zettai Zetsumei! Mojutsukai Moji VS Rufi!,29 Dec. 1999,7.6,"(1,152)",After Buggy's defeat Mohji and Richie seek revenge while Luffy meets a small dog guarding his master's store.
2004,7,Sozetsu Ketto! Kengo Zoro VS Kyokugei no Kabaji!,29 Dec. 1999,7.6,"(1,091)",The city's mayor rushes to fight Buggy but the Straw Hat Pirates come to his aid. Zoro fights Cajabi while Luffy faces Buggy himself.
2004,8,Shousha wa docchi? Akuma no mi no nouryoku taiketsu!,29 Dec. 1999,7.7,"(1,058)",Luffy becomes enrages when Buggy rips his straw hat as the battle continues.
2004,9,Seigi no usotsuki? Kyaputen Usoppu,12 Jan. 2000,7.1,"(1,012)",Nami forms an alliance with the Straw Hat Pirates as their navigator as the crew arrives at Syrup Village where they meet Usopp.
2004,10,Chijou saikyou no hen na yatsu! Saiminjutsushi Jango,19 Jan. 2000,7.4,(974),"Luffy and Usopp learn that Kaya's caretaker, Klahadore pairs up with a strange man plot as they plot to kill her."
